ARGs abundance normalization aganist 16S	Subtype level results
	STAS	SWHAS104
beta-lactam__LEN-24	0	0
beta-lactam__LEN-5	0	0
beta-lactam__LRA-1	0	0
beta-lactam__LRA-12	0	0
beta-lactam__LRA-13	0	0
beta-lactam__LRA-17	0	0
beta-lactam__LRA-19	0	0
beta-lactam__LRA-2	0	0
beta-lactam__LRA-3	0	0
beta-lactam__LRA-5	0	0
beta-lactam__LRA-8	0	0
beta-lactam__LRA-9	0	0
beta-lactam__MIR-1	0	0
beta-lactam__MIR-2	0	0
beta-lactam__MIR-3	0	0
beta-lactam__MIR-6	0	0
beta-lactam__MIR-8	0	0
beta-lactam__MOX-1	0	0
beta-lactam__MOX-2	0	0
beta-lactam__MOX-3	0	0
beta-lactam__MOX-4	0	0
beta-lactam__MOX-5	0	0
beta-lactam__MOX-6	0	0
beta-lactam__MOX-7	0	0
beta-lactam__MUS-1	0	0
beta-lactam__NDM-2	0	0
beta-lactam__NDM-3	0	0
beta-lactam__NDM-4	0	0
beta-lactam__NDM-5	0	0
beta-lactam__NDM-6	0	0
beta-lactam__NDM-7	0	0
beta-lactam__NDM-8	0	0
beta-lactam__NMC-A	0	0
beta-lactam__NPS-1	0	0.0170749389499389
beta-lactam__OCH-2	0	0
beta-lactam__OCH-4	0	0
beta-lactam__OCH-5	0	0
beta-lactam__OCH-8	0	0
beta-lactam__OKP-A	0	0
beta-lactam__OKP-B	0	0
beta-lactam__OXA-1	0	0
beta-lactam__OXA-10	0	0
beta-lactam__OXA-101	0	0
beta-lactam__OXA-104	0	0
beta-lactam__OXA-106	0	0
beta-lactam__OXA-107	0	0
beta-lactam__OXA-108	0	0
beta-lactam__OXA-109	0	0
beta-lactam__OXA-11	0	0
beta-lactam__OXA-110	0	0
beta-lactam__OXA-111	0	0
beta-lactam__OXA-112	0	0
beta-lactam__OXA-113	0	0
beta-lactam__OXA-114	0	0
beta-lactam__OXA-115	0	0
beta-lactam__OXA-116	0	0
beta-lactam__OXA-117	0	0
beta-lactam__OXA-118	0	0
beta-lactam__OXA-119	0	0
beta-lactam__OXA-12	0	0
beta-lactam__OXA-120	0	0
beta-lactam__OXA-121	0	0
beta-lactam__OXA-128	0	0
beta-lactam__OXA-129	0	0
beta-lactam__OXA-13	0	0
beta-lactam__OXA-130	0	0
beta-lactam__OXA-131	0	0
beta-lactam__OXA-132	0	0
beta-lactam__OXA-134	0	0
beta-lactam__OXA-136	0	0
beta-lactam__OXA-137	0	0
beta-lactam__OXA-139	0	0
beta-lactam__OXA-141	0	0
beta-lactam__OXA-142	0	0
beta-lactam__OXA-144	0	0
beta-lactam__OXA-145	0	0
beta-lactam__OXA-146	0	0
beta-lactam__OXA-147	0	0
beta-lactam__OXA-148	0	0
beta-lactam__OXA-149	0	0
beta-lactam__OXA-15	0	0
beta-lactam__OXA-150	0	0
beta-lactam__OXA-161	0	0
beta-lactam__OXA-162	0	0
beta-lactam__OXA-163	0	0
beta-lactam__OXA-164	0	0
beta-lactam__OXA-165	0	0
beta-lactam__OXA-166	0	0
beta-lactam__OXA-167	0	0
beta-lactam__OXA-168	0	0
beta-lactam__OXA-169	0	0
beta-lactam__OXA-17	0	0
beta-lactam__OXA-170	0	0
beta-lactam__OXA-171	0	0
